Row,Month,Year,Age,Source,Blood_ppm,Censored,Liver_ppm,Bone_ppm,Blood_lead_level,Liver_lead_level,Bone_lead_level,Lead_level_code,X_ray_results,County_found,Outcome,Comments,Released
305,July,2014,<1,SOAR,0.01,0,NA,NA,B,NA,NA,B,NA,Webster,R,NA,R
306,July,2014,<1,SOAR,NA,NA,0.5,NA,NA,B,NA,B,N,Winneshiek,DOA,NA,NotR
307,July,2014,juvenile,SOAR,NA,NA,0.9,NA,NA,B,NA,B,N,Winneshiek,DOA,NA,NotR
308,August,2014,<1,SOAR,0.013,0,NA,NA,B,NA,NA,B,NA,Clay,R,NA,R
309,August,2014,<1,SOAR,0.028,0,NA,NA,B,NA,NA,B,NA,Polk,R,NA,R
310,September,2014,<1,SOAR,NA,NA,0.5,NA,NA,B,NA,B,N,Dallas,DOA,NA,NotR
311,September,2014,juvenile,SOAR,0.09,0,NA,NA,B,NA,NA,B,N,Winneshiek,EU,NA,NotR
312,October,2014,adult,Macbride,0.65,0,NA,NA,C,NA,NA,C,PG,Jones,EU,**lead in digestive tract,NotR
313,October,2014,adult,SOAR,NA,NA,NA,NA,NA,NA,NA,NA,N,Winneshiek,EU,NA,NotR
314,October,2014,<1,SOAR,0.002,0,NA,NA,B,NA,NA,B,N,Clayton,EU,NA,NotR
315,November,2014,<1,SOAR,0.21,0,NA,NA,SC,NA,NA,SC,N,Audubon,R,NA,R
316,November,2014,juvenile,SOAR,0.483,0,NA,NA,SC,NA,NA,SC,NA,Clarke,EU,NA,NotR
317,November,2014,<1,SOAR,0.005,0,NA,NA,B,NA,NA,B,N,Clay,R,NA,R
318,November,2014,NA,Macbride,0.248,0,NA,NA,SC,NA,NA,SC,N,Monroe,R,NA,R
319,November,2014,adult,SOAR,0.154,0,NA,NA,B,NA,NA,B,PS,Poweshiek,Died,"**BLL = 0.154 ppm, liver lead <0.5 ppm",NotR
320,December,2014,adult,Macbride,0.03,0,NA,NA,B,NA,NA,B,N,Delaware,R,NA,R
321,December,2014,adult,Macbride,0.17,0,NA,NA,B,NA,NA,B,N,Dubuque,EU,NA,NotR
322,December,2014,adult,WCC,4.35,0,NA,NA,C,NA,NA,C,NA,Story,Died,NA,NotR
